,48 mutual friends,Word and ed,Places lived,contact and basic info,friend total time
0,3.502454996109009,21.404412508010864,1.2672529220581055,1.279789686203003,37.240883588790894
1,2.937171459197998,1.6718931198120117,1.204463243484497,1.3006079196929932,8.218134641647339
2,2.930830478668213,21.323877096176147,1.0639288425445557,1.2273461818695068,36.351537466049194
3,2.8973264694213867,11.579621315002441,0.9436233043670654,1.5792946815490723,27.05757999420166
4,3.701296806335449,41.69457006454468,1.3072988986968994,1.1143429279327393,58.17026710510254
5,3.738597869873047,11.608389616012573,1.4266669750213623,1.1397740840911865,18.882620573043823
6,3.1539924144744873,11.449243545532227,1.096830129623413,1.2708930969238281,18.716092109680176
7,3.284716844558716,1.4363987445831299,1.3973770141601562,1.4669265747070312,9.063798904418945
8,9.907929420471191,11.232559204101562,1.0028743743896484,1.0529005527496338,24.54747223854065
9,3.3550796508789062,1.4714231491088867,1.0533115863800049,1.72676420211792,9.019230842590332
mean,3.9409396409988404,13.487238836288451,1.176362729072571,1.3158639907836913,24.726761746406556
